id,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
310,J,J,J,J,J,J,J,J,J,J
311,C,C,C,C,C,C,C,C,C,C
312,C,C,C,C,C,C,C,C,C,C
313,J,J,J,J,J,J,J,J,J,J
314,E,E,E,E,E,E,E,E,E,E
315,J,J,J,J,J,J,J,J,J,J
316,I,I,I,I,I,I,I,I,I,I
317,E,E,E,E,E,E,E,E,E,E
318,J,J,J,J,J,J,J,J,J,J
319,J,J,J,J,J,J,J,J,J,J
320,C,C,C,C,C,C,C,C,C,C
321,C,C,C,C,C,C,C,C,C,C
322,C,C,C,C,C,C,C,C,C,C
323,D,D,D,D,D,D,D,D,D,D
324,C,C,C,C,C,C,C,C,C,C
325,O,O,O,O,O,O,O,O,O,O
326,E,E,E,E,E,E,E,E,E,E
327,C,C,C,C,C,C,C,C,C,C
328,C,C,C,C,C,C,C,C,C,C
329,C,C,C,C,C,C,C,C,C,C
330,C,C,C,C,C,C,C,C,C,C
331,C,C,C,C,C,C,C,C,C,C
332,J,J,J,J,J,J,J,J,J,J
333,A,A,A,A,A,A,A,A,A,A
334,J,J,J,J,J,J,J,J,J,J
335,C,C,C,C,C,C,C,C,C,C
336,C,C,C,C,C,C,C,C,C,C
337,D,D,D,D,D,D,D,D,D,D
338,E,E,E,E,E,E,E,E,E,E
339,E,E,E,E,E,E,E,E,E,E
340,D,D,D,D,D,D,D,D,D,D
341,I,I,I,I,I,I,I,I,I,I
342,D,D,D,D,D,D,D,D,D,D
343,D,D,D,D,D,D,D,D,D,D
344,D,D,D,D,D,D,D,D,D,D
345,D,D,D,D,D,D,D,D,D,D
347,E,E,E,E,E,E,E,E,E,E
348,E,E,E,E,E,E,E,E,E,E
349,A,A,A,A,A,A,A,A,A,A
350,A,A,A,A,A,A,A,A,A,A
351,A,A,A,A,A,A,A,A,A,A
352,A,A,A,A,A,A,A,A,A,A
353,A,A,A,A,A,A,A,A,A,A
354,A,A,A,A,A,A,A,A,A,A
355,A,A,A,A,A,A,A,A,A,A
356,A,A,A,A,A,A,A,A,A,A
357,A,A,A,A,A,A,A,A,A,A
358,A,A,A,A,A,A,A,A,A,A
359,A,A,A,A,A,A,A,A,A,A
360,A,A,A,A,A,A,A,A,A,A
361,A,A,A,A,A,A,A,A,A,A
362,A,A,A,A,A,A,A,A,A,A
363,A,A,A,A,A,A,A,A,A,A
364,A,A,A,A,A,A,A,A,A,A
365,A,A,A,A,A,A,A,A,A,A
366,A,A,A,A,A,A,A,A,A,A
367,A,A,A,A,A,A,A,A,A,A
368,A,A,A,A,A,A,A,A,A,A
369,A,A,A,A,A,A,A,A,A,A
370,A,A,A,A,A,A,A,A,A,A
371,A,A,A,A,A,A,A,A,A,A
372,A,A,A,A,A,A,A,A,A,A
373,A,A,A,A,A,A,A,A,A,A
374,A,A,A,A,A,A,A,A,A,A
375,A,A,A,A,A,A,A,A,A,A
376,A,A,A,A,A,A,A,A,A,A
377,A,A,A,A,A,A,A,A,A,A
378,A,A,A,A,A,A,A,A,A,A
379,A,A,A,A,A,A,A,A,A,A
380,A,A,A,A,A,A,A,A,A,A
381,A,A,A,A,A,A,A,A,A,A
382,A,A,A,A,A,A,A,A,A,A
383,A,A,A,A,A,A,A,A,A,A
384,A,A,A,A,A,A,A,A,A,A
385,A,A,A,A,A,A,A,A,A,A
386,A,A,A,A,A,A,A,A,A,A
387,A,A,A,A,A,A,A,A,A,A
388,A,A,A,A,A,A,A,A,A,A
389,A,A,A,A,A,A,A,A,A,A
390,A,A,A,A,A,A,A,A,A,A
391,A,A,A,A,A,A,A,A,A,A
392,A,A,A,A,A,A,A,A,A,A
393,A,A,A,A,A,A,A,A,A,A
394,A,A,A,A,A,A,A,A,A,A
395,A,A,A,A,A,A,A,A,A,A
396,A,A,A,A,A,A,A,A,A,A
397,A,A,A,A,A,A,A,A,A,A
398,A,A,A,A,A,A,A,A,A,A
399,A,A,A,A,A,A,A,A,A,A
400,A,A,A,A,A,A,A,A,A,A
401,A,A,A,A,A,A,A,A,A,A
403,A,A,A,A,A,A,A,A,A,A
404,A,A,A,A,A,A,A,A,A,A
405,A,A,A,A,A,A,A,A,A,A
406,A,A,A,A,A,A,A,A,A,A
407,A,A,A,A,A,A,A,A,A,A
408,A,A,A,A,A,A,A,A,A,A
409,A,A,A,A,A,A,A,A,A,A
410,A,A,A,A,A,A,A,A,A,A
411,A,A,A,A,A,A,A,A,A,A
412,A,A,A,A,A,A,A,A,A,A
413,A,A,A,A,A,A,A,A,A,A
414,A,A,A,A,A,A,A,A,A,A
415,L,L,L,L,L,L,L,L,L,L
416,A,A,A,A,A,A,A,A,A,A
417,L,L,L,L,L,L,L,L,L,L
418,A,A,A,A,A,A,A,A,A,A
419,A,A,A,A,A,A,A,A,A,A
420,A,A,A,A,A,A,A,A,A,A
